category,source,sourceType,sourceId,Brand,Model
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Samsung,UBDM7500-R
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Samsung,BD-J6300/ZA
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Supersonic,SC-259A
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,GPX,D200B
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Naxa,ND-856
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Sanyo,RFWDP175F
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Supersonic,SC-257A
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Naxa,ND-861
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,LG,UBK80
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,SYLVANIA,SDVD8739
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,GPX,PD701W
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Samsung,UBD-KM85C-R
Blu-Ray & DVD Players,Fry's Electronics,retailer,1,Sanyo,RFWZV475F
